Team,Score,Overs,RR,Inns,Opposition,Ground,Wickets,Win
United,238,20,11.9,1,v Qalandars,Karachi,3,Win
Zalmi,214,20,10.7,1,v United,Karachi,5,Win
Qalandars,209,20,10.45,1,v Gladiators,Lahore,5,Win
Qalandars,204,20,10.2,2,v Sultans,Sharjah,4,Win
Gladiators,203,20,10.15,2,v Qalandars,Dubai (DSC),8,Win
Zalmi,203,20,10.15,1,v Kings,Karachi,7,Win
Gladiators,202,18.5,10.72,2,v Qalandars,Sharjah,5,Win
Qalandars,201,20,10.05,1,v Gladiators,Dubai (DSC),2,Lose
Kings,201,20,10.05,1,v Zalmi,Karachi,4,Win
Qalandars,200,20,10,1,v Gladiators,Sharjah,3,Win
Gladiators,200,20,10,1,v Zalmi,Sharjah,7,Win
Sultans,200,20,10,1,v Qalandars,Sharjah,6,Win
Zalmi,199,20,9.95,2,v Gladiators,Sharjah,9,Lose
Sultans,199,20,9.95,1,v Gladiators,Multan,5,Win
United,198,20,9.9,1,v Qalandars,Lahore,3,Win
United,195,20,9.75,1,v Zalmi,Rawalpindi,5,Win
Qalandars,194,20,9.7,1,v Gladiators,Dubai (DSC),3,Win
Qalandars,191,18.5,10.14,2,v Sultans,Lahore,1,Win
Zalmi,191,20,9.55,2,v Kings,Karachi,7,Lose
Qalandars,190,19.1,9.91,2,v Kings,Lahore,2,Win
Gladiators,190,19.4,9.66,2,v United,Rawalpindi,5,Win
Zalmi,190,20,9.5,1,v United,Dubai (DSC),9,Lose
Kings,190,20,9.5,1,v Gladiators,Karachi,5,Win
Qalandars,189,19.5,9.52,2,v Zalmi,Lahore,5,Win
Qalandars,189,20,9.45,2,v United,Karachi,9,Lose
Gladiators,189,20,9.45,2,v Kings,Karachi,7,Lose
Kings,188,18.4,10.07,2,v Gladiators,Sharjah,4,Win
Kings,188,20,9.4,1,v Sultans,Dubai (DSC),3,Win
Kings,187,18.4,10.01,2,v United,Rawalpindi,5,Win
United,187,20,9.35,1,v Gladiators,Rawalpindi,7,Lose
Kings,187,20,9.35,1,v Qalandars,Lahore,5,Win
Zalmi,187,20,9.35,1,v Qalandars,Lahore,7,Lose
Qalandars,186,20,9.3,1,v Gladiators,Sharjah,4,Lose
Gladiators,186,20,9.3,1,v Kings,Sharjah,5,Win
Gladiators,186,20,9.3,1,v Zalmi,Karachi,6,Lose
Sultans,186,20,9.3,1,v Kings,Multan,6,Win
Sultans,186,20,9.3,1,v Qalandars,Lahore,6,Win
United,185,20,9.25,1,v Sultans,Sharjah,4,Win
United,183,19.5,9.22,2,v Qalandars,Lahore,9,Win
Sultans,183,20,9.15,1,v Zalmi,Dubai (DSC),3,Win
Kings,183,20,9.15,1,v Sultans,Dubai (DSC),6,Win
United,183,20,9.15,1,v Kings,Rawalpindi,3,Win
Zalmi,182,20,9.1,1,v Kings,Sharjah,4,Win
United,182,20,9.1,1,v Zalmi,Dubai (DSC),5,Lose
Qalandars,182,20,9.1,1,v United,Lahore,6,Win
Qalandars,182,20,9.1,1,v Sultans,Karachi,6,Win
Zalmi,181,20,9.05,1,v Kings,Dubai (DSC),3,Win
Zalmi,181,20,9.05,1,v Kings,Sharjah,6,Win
Gladiators,180,20,9,1,v Kings,Dubai (DSC),4,Win
Gladiators,180,20,9,1,v United,Abu Dhabi,9,Lose
Qalandars,59,10.2,5.7,1,v Zalmi,Dubai (DSC),10,Lose
Qalandars,78,15.1,5.14,1,v Zalmi,Dubai (DSC),10,Lose
United,82,15.2,5.34,2,v Kings,Sharjah,10,Lose
Gladiators,90,16.3,5.45,2,v Zalmi,Lahore,10,Lose
Gladiators,98,20,4.9,1,v Qalandars,Lahore,9,Lose
Qalandars,100,17.2,5.76,1,v Zalmi,Sharjah,10,Lose
Gladiators,102,15.4,6.51,1,v Sultans,Sharjah,10,Lose
Gladiators,106,19.1,5.53,1,v Qalandars,Dubai (DSC),10,Lose
Kings,109,20,5.45,2,v Zalmi,Sharjah,9,Lose
Kings,111,20,5.55,1,v United,Dubai (DSC),9,Lose
